"","Arsenal","Aston Villa","Burnley","Chelsea","Crystal Palace","Everton","Hull City","Leicester City","Liverpool","Manchester City","Manchester United","Newcastle United","Queens Park Rangers","Southampton","Stoke City","Sunderland","Swansea City","Tottenham Hotspur","West Bromwich Albion","West Ham United","index"
"1",1,1,3,1,3,2,1,2,1,1,3,3,3,3,3,2,1,1,2,3,1
"2",2,2,6,1,6,4,2,5,3,1,5,5,6,5,5,4,1,1,4,3,2
"3",4,2,8,1,8,7,5,7,3,3,7,7,6,5,5,7,1,3,7,6,3
"4",5,2,9,1,9,6,6,6,5,4,6,9,8,4,7,8,3,4,9,7,4
"5",3,2,9,1,7,7,6,4,6,4,7,9,8,2,7,8,3,5,7,5,5
"6",4,4,10,1,5,7,7,5,6,3,5,10,9,2,5,8,4,5,5,6,6
"7",5,5,9,1,7,8,6,6,5,2,4,9,9,3,7,7,4,4,7,5,7
"8",6,7,11,1,9,8,7,8,4,2,5,10,11,3,6,9,6,6,8,4,8
"9",5,9,13,1,10,7,8,10,5,3,6,9,12,2,8,11,5,8,9,4,9
"10",4,10,13,1,11,7,9,11,6,3,7,7,12,2,8,9,5,6,7,4,10
"11",5,11,14,1,12,8,11,12,8,3,6,6,13,2,7,10,4,8,9,4,11
"12",6,10,12,1,10,6,11,12,8,3,4,4,13,2,7,9,5,6,9,5,12
"13",6,11,12,1,11,8,12,13,8,2,4,7,12,3,9,10,7,6,11,5,13
"14",6,10,14,1,13,9,14,16,8,2,4,8,15,3,11,12,7,8,13,5,14
"15",6,9,14,1,12,10,13,15,8,2,3,6,12,5,10,11,7,8,12,4,15
"16",5,10,13,1,13,9,15,16,9,2,3,7,14,5,10,12,8,6,11,4,16
"17",6,11,14,1,14,10,15,16,9,2,3,8,13,5,12,12,7,6,13,4,17
"18",6,12,16,1,16,11,15,17,8,2,3,9,14,4,10,13,7,6,14,5,18
"19",4,9,13,1,13,9,13,14,6,2,3,7,11,4,8,10,6,5,12,5,19
"20",5,10,15,1,15,11,13,16,7,1,2,8,13,3,9,12,7,4,14,6,20
"21",5,12,14,1,14,12,15,16,8,2,4,10,15,3,11,14,9,6,13,7,21
"22",5,13,14,1,12,12,15,16,8,2,4,11,15,3,10,14,9,6,13,7,22
"23",4,13,14,1,12,11,15,16,6,2,3,10,15,4,9,12,8,5,13,7,23
"24",6,16,17,1,13,12,18,20,7,2,4,11,19,3,10,14,9,5,15,8,24
"25",5,16,17,1,12,12,15,18,7,2,3,11,16,4,10,14,9,6,13,8,25
"26",3,16,16,1,13,12,14,17,6,2,4,11,16,5,10,15,9,7,13,8,26
"27",3,15,15,1,11,12,13,16,5,2,4,10,15,7,9,14,8,6,11,9,27
"28",3,16,17,1,12,13,14,18,5,2,4,11,17,7,8,15,9,6,12,10,28
"29",3,13,15,1,11,12,13,17,5,2,4,10,16,6,7,14,8,6,11,9,29
"30",3,13,15,1,9,11,13,17,5,2,4,10,16,6,8,14,7,6,12,8,30
"31",2,14,15,1,9,10,14,17,5,4,3,11,16,6,8,13,7,5,12,8,31
"32",2,14,17,1,10,11,16,18,5,4,3,12,18,6,9,15,8,7,13,9,32
"33",2,14,18,1,10,11,15,17,5,4,3,13,18,6,8,16,7,5,12,9,33
"34",2,14,17,1,10,9,13,15,5,3,4,12,16,6,8,15,7,5,11,9,34
"35",2,13,16,1,11,10,14,14,5,3,4,13,15,7,9,14,8,6,12,9,35
"36",3,14,18,1,12,11,17,15,5,2,4,16,19,7,9,15,8,6,13,10,36
"37",3,13,16,1,11,10,15,13,5,2,4,14,16,7,9,13,8,6,12,10,37
"38",3,15,17,1,10,11,16,13,6,2,4,14,18,7,9,15,8,5,12,11,38
